As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Trees,Upwards_True_Trees,Upwards_Model_Mask,Upwards_True_Mask,Upwards_Model_Accuracy,Upwards_True_Accuracy,altUpwards_Model_Trees,altUpwards_True_Trees,altUpwards_Model_Mask,altUpwards_True_Mask,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,Argmax_Model_Uniques,Argmax_Model_Valids_Uniques,Argmax_Model_Valids,Argmax_Model_Unique_Counts,Argmax_Model_Valid_Unique_Counts,Argmax_Model_Valid_Counts,Argmax_True_Uniques,Argmax_True_Valids_Uniques,Argmax_True_Valids,Argmax_True_Unique_Counts,Argmax_True_Valid_Unique_Counts,Argmax_True_Valid_Counts,Random_Model_Uniques,Random_Model_Valids_Uniques,Random_Model_Valids,Random_Model_Unique_Counts,Random_Model_Valid_Unique_Counts,Random_Model_Valid_Counts,Random_True_Uniques,Random_True_Valids_Uniques,Random_True_Valids,Random_True_Unique_Counts,Random_True_Valid_Unique_Counts,Random_True_Valid_Counts,Upwards_Model_Uniques,Upwards_Model_Valids_Uniques,Upwards_Model_Valids,Upwards_Model_Unique_Counts,Upwards_Model_Valid_Unique_Counts,Upwards_Model_Valid_Counts,Upwards_True_Uniques,Upwards_True_Valids_Uniques,Upwards_True_Valids,Upwards_True_Unique_Counts,Upwards_True_Valid_Unique_Counts,Upwards_True_Valid_Counts,altUpwards_Model_Uniques,altUpwards_Model_Valids_Uniques,altUpwards_Model_Valids,altUpwards_Model_Unique_Counts,altUpwards_Model_Valid_Unique_Counts,altUpwards_Model_Valid_Counts,altUpwards_True_Uniques,altUpwards_True_Valids_Uniques,altUpwards_True_Valids,altUpwards_True_Unique_Counts,altUpwards_True_Valid_Unique_Counts,altUpwards_True_Valid_Counts
[0 1 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 1 1],[0 0 2 4 1],[0 0 2 4 1],True,True,0.890625,0.828125,"[np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(4)]","[np.int64(0), np.int64(4), np.int64(1), np.int64(4), np.int64(1)]",False,False,0.0,0.0,[0 4 2 2 1],[0 0 2 4 1],False,True,0.78125,0.796875,[0. 0. 2. 4. 1.],[0. 0. 2. 4. 1.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.92,0.0,0.0,23,0,0,1.0,0.0,0.0,25,0,0,0.12,0.3333333333333333,0.8,3,1,20,0.04,1.0,1.0,1,1,25,0.08,0.5,0.92,2,1,23,0.04,1.0,1.0,1,1,25
[1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1],[0 0 4 2 2],[0 0 4 2 2],False,False,0.890625,0.828125,"[np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(0)]","[np.int64(4), np.int64(3), np.int64(3), np.int64(4), np.int64(1)]",False,False,0.0,0.0,[0 0 4 2 1],[0 0 3 2 2],True,False,0.78125,0.796875,[0. 0. 1. 2. 2.],[0. 0. 3. 2. 0.],True,False,0.828125,0.734375,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0,0.96,0.0,0.0,24,0,0,1.0,0.0,0.0,25,0,0,0.6,0.6666666666666666,0.52,15,10,13,0.52,0.5384615384615384,0.52,13,7,13,0.6,0.7333333333333333,0.76,15,11,19,0.44,0.7272727272727273,0.6,11,8,15
[1 0 1 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 0],[0 2 0 0 0],[0 2 0 0 0],True,True,0.890625,0.828125,"[np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(2)]",False,False,0.0,0.0,[0 4 1 4 0],[0 2 0 0 0],True,True,0.78125,0.796875,[0. 4. 4. 0. 0.],[0. 2. 4. 0. 0.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.36,0.7777777777777778,0.68,9,7,17,0.4,0.8,0.8,10,8,20,0.44,0.7272727272727273,0.72,11,8,18,0.36,0.7777777777777778,0.72,9,7,18
[1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0],[0 0 4 0 3],[0 3 4 0 3],True,True,0.890625,0.828125,"[np.int64(1), np.int64(4), np.int64(4), np.int64(0), np.int64(2)]","[np.int64(0), np.int64(0), np.int64(4), np.int64(4), np.int64(4)]",False,False,0.0,0.0,[0 0 4 1 3],[0 0 4 0 3],True,True,0.78125,0.796875,[0. 3. 4. 0. 3.],[0. 0. 4. 1. 3.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.2,0.6,0.84,5,3,21,0.16,0.75,0.8,4,3,20,0.16,0.75,0.88,4,3,22,0.16,0.75,0.8,4,3,20
[0 0 1 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1],[0 3 0 0 2],[0 3 0 0 2],True,True,0.890625,0.828125,"[np.int64(2), np.int64(4), np.int64(3), np.int64(3), np.int64(4)]","[np.int64(1), np.int64(4), np.int64(3), np.int64(2), np.int64(0)]",False,False,0.0,0.0,[0 3 1 2 2],[0 4 1 0 3],False,True,0.78125,0.796875,[0. 3. 1. 0. 2.],[0. 3. 0. 1. 3.],True,False,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.8,0.45,0.52,20,9,13,0.68,0.47058823529411764,0.48,17,8,12,0.8,0.6,0.68,20,12,17,0.56,0.5714285714285714,0.72,14,8,18
[0 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 0 0 1 1 0 1],[0 2 1 1 2],[0 3 1 1 2],False,False,0.890625,0.828125,"[np.int64(2), np.int64(4), np.int64(0), np.int64(3), np.int64(4)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(2)]",False,False,0.0,0.0,[0 4 0 0 0],[0 4 1 1 2],True,False,0.78125,0.796875,[0. 3. 1. 2. 2.],[0. 3. 0. 1. 2.],False,False,0.828125,0.734375,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0,1.0,0.0,0.0,25,0,0,1.0,0.04,0.04,25,1,1,0.76,0.47368421052631576,0.48,19,9,12,0.68,0.5294117647058824,0.44,17,9,11,0.8,0.4,0.48,20,8,12,0.76,0.631578947368421,0.6,19,12,15
[0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0],[0 2 0 0 0],[0 2 4 0 2],True,False,0.890625,0.828125,"[np.int64(4), np.int64(2), np.int64(1), np.int64(2), np.int64(0)]","[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1)]",False,False,0.0,0.0,[0 2 0 0 2],[0 2 0 0 0],True,True,0.78125,0.796875,[0. 2. 0. 0. 2.],[0. 3. 4. 0. 2.],True,False,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.52,0.9230769230769231,0.96,13,12,24,0.48,0.8333333333333334,0.72,12,10,18,0.44,0.9090909090909091,0.92,11,10,23,0.4,0.8,0.68,10,8,17
[0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0],[0 2 0 0 0],[0 2 4 0 2],True,False,0.890625,0.828125,"[np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(0)]","[np.int64(4), np.int64(2), np.int64(2), np.int64(0), np.int64(1)]",False,False,0.0,0.0,[0 3 0 0 2],[0 2 4 0 2],True,False,0.78125,0.796875,[0. 3. 4. 0. 3.],[0. 2. 0. 0. 0.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.56,0.9285714285714286,0.92,14,13,23,0.44,0.8181818181818182,0.8,11,9,20,0.56,0.9285714285714286,0.96,14,13,24,0.36,0.8888888888888888,0.88,9,8,22
[0 0 0 0 1 1 1 1 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1],[0 4 1 3 0],[0 4 1 3 0],True,True,0.890625,0.828125,"[np.int64(1), np.int64(0), np.int64(2), np.int64(4), np.int64(4)]","[np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(1)]",False,False,0.0,0.0,[0 4 1 3 0],[0 4 1 3 0],True,True,0.78125,0.796875,[0. 4. 1. 3. 0.],[0. 4. 1. 3. 0.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.96,0.0,0.0,24,0,0,1.0,0.0,0.0,25,0,0,0.08,0.5,0.92,2,1,23,0.04,1.0,1.0,1,1,25,0.08,0.5,0.96,2,1,24,0.04,1.0,1.0,1,1,25
[0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0],[0 2 0 0 0],[0 2 4 0 2],True,False,0.890625,0.828125,"[np.int64(2), np.int64(3), np.int64(4), np.int64(4), np.int64(3)]","[np.int64(2), np.int64(0), np.int64(3), np.int64(2), np.int64(3)]",False,False,0.0,0.0,[0 2 4 0 0],[0 2 4 0 3],True,True,0.78125,0.796875,[0. 3. 0. 0. 3.],[0. 2. 4. 0. 0.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.56,0.8571428571428571,0.92,14,12,23,0.4,0.8,0.52,10,8,13,0.56,1.0,1.0,14,14,25,0.48,0.8333333333333334,0.84,12,10,21
[0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 1],[0 2 4 0 0],[0 2 3 4 0],True,True,0.890625,0.828125,"[np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(4), np.int64(0), np.int64(1)]",False,False,0.0,0.0,[0 3 4 4 3],[0 3 4 0 0],False,True,0.78125,0.796875,[0. 2. 4. 0. 3.],[0. 2. 4. 4. 0.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.8,0.5,0.52,20,10,13,0.44,0.8181818181818182,0.92,11,9,23,0.56,0.5714285714285714,0.52,14,8,13,0.56,0.6428571428571429,0.72,14,9,18
[0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 1 0 0 0 1],[0 1 2 3 0],[0 1 2 3 0],True,True,0.890625,0.828125,"[np.int64(0), np.int64(0), np.int64(2), np.int64(1), np.int64(1)]","[np.int64(3), np.int64(1), np.int64(4), np.int64(4), np.int64(2)]",False,False,0.0,0.0,[0 1 2 3 0],[0 1 2 3 0],True,True,0.78125,0.796875,[0. 1. 2. 3. 0.],[0. 1. 2. 3. 0.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
[0 0 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 1 0 1 1 1 0 0 0],[0 4 0 0 1],[0 4 3 0 3],False,True,0.890625,0.828125,"[np.int64(3), np.int64(2), np.int64(4), np.int64(2), np.int64(1)]","[np.int64(3), np.int64(4), np.int64(3), np.int64(0), np.int64(0)]",False,False,0.0,0.0,[0 4 0 0 3],[0 3 0 0 1],True,True,0.78125,0.796875,[0. 4. 3. 0. 1.],[0. 3. 0. 0. 1.],False,True,0.828125,0.734375,0.04,0.0,0.0,1,0,0,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.28,0.7142857142857143,0.68,7,5,17,0.32,0.75,0.68,8,6,17,0.24,0.6666666666666666,0.6,6,4,15,0.28,0.7142857142857143,0.64,7,5,16
[0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0],[0 1 0 2 2],[0 1 0 4 2],True,True,0.890625,0.828125,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(4)]","[np.int64(4), np.int64(3), np.int64(1), np.int64(0), np.int64(1)]",False,False,0.0,0.0,[0 1 0 4 2],[0 1 0 4 3],True,False,0.78125,0.796875,[0. 1. 0. 2. 3.],[0. 1. 0. 4. 2.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.2,0.6,0.68,5,3,17,0.12,0.6666666666666666,0.68,3,2,17,0.16,0.75,0.88,4,3,22,0.16,0.75,0.76,4,3,19
[0 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 0 0 1 1 0 0 0 0 1],[0 2 0 0 0],[0 2 0 0 3],True,True,0.890625,0.828125,"[np.int64(3), np.int64(1), np.int64(2), np.int64(2), np.int64(1)]","[np.int64(3), np.int64(2), np.int64(4), np.int64(0), np.int64(1)]",False,False,0.0,0.0,[0 2 1 1 0],[0 2 0 0 2],False,True,0.78125,0.796875,[0. 2. 0. 1. 3.],[0. 2. 0. 0. 3.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.96,0.0,0.0,24,0,0,0.96,0.0,0.0,24,0,0,0.56,0.5714285714285714,0.56,14,8,14,0.28,1.0,1.0,7,7,25,0.48,0.5833333333333334,0.64,12,7,16,0.28,1.0,1.0,7,7,25
[0 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1],[0 3 1 2 1],[0 3 1 0 1],False,True,0.890625,0.828125,"[np.int64(2), np.int64(2), np.int64(4), np.int64(4), np.int64(1)]","[np.int64(1), np.int64(0), np.int64(1), np.int64(3), np.int64(2)]",False,False,0.0,0.0,[0 0 1 4 1],[0 3 1 2 1],True,False,0.78125,0.796875,[0. 0. 4. 4. 1.],[0. 3. 1. 4. 1.],True,False,0.828125,0.734375,0.04,0.0,0.0,1,0,0,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.48,0.75,0.76,12,9,19,0.56,0.7857142857142857,0.76,14,11,19,0.68,0.7647058823529411,0.72,17,13,18,0.48,0.6666666666666666,0.72,12,8,18
[0 0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 0],[0 2 0 2 1],[0 2 0 4 1],True,True,0.890625,0.828125,"[np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(4)]","[np.int64(1), np.int64(0), np.int64(2), np.int64(4), np.int64(1)]",False,False,0.0,0.0,[0 2 0 2 1],[0 2 0 4 1],True,True,0.78125,0.796875,[0. 2. 0. 4. 1.],[0. 2. 0. 4. 1.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.16,0.5,0.76,4,2,19,0.08,1.0,1.0,2,2,25,0.12,0.6666666666666666,0.84,3,2,21,0.08,1.0,1.0,2,2,25
[1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 0],[0 3 1 0 3],[0 4 1 0 3],True,True,0.890625,0.828125,"[np.int64(2), np.int64(1), np.int64(4), np.int64(1), np.int64(1)]","[np.int64(4), np.int64(0), np.int64(4), np.int64(4), np.int64(2)]",False,False,0.0,0.0,[0 3 1 0 3],[0 4 1 0 3],True,True,0.78125,0.796875,[0. 4. 1. 0. 3.],[0. 3. 4. 0. 3.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.28,0.5714285714285714,0.72,7,4,18,0.28,0.7142857142857143,0.8,7,5,20,0.32,0.625,0.68,8,5,17,0.32,0.625,0.6,8,5,15
[1 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0],[0 0 0 0 3],[0 0 0 2 3],True,True,0.890625,0.828125,"[np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(3)]","[np.int64(3), np.int64(4), np.int64(4), np.int64(3), np.int64(1)]",False,False,0.0,0.0,[0 0 0 2 3],[0 0 3 2 3],True,False,0.78125,0.796875,[0. 0. 3. 0. 3.],[0. 0. 0. 2. 3.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.16,0.75,0.8,4,3,20,0.16,0.75,0.72,4,3,18,0.16,0.75,0.84,4,3,21,0.16,0.75,0.72,4,3,18
