As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Trees,Upwards_True_Trees,Upwards_Model_Mask,Upwards_True_Mask,Upwards_Model_Accuracy,Upwards_True_Accuracy,Upwards_Model_Uniques,Upwards_Model_Valids_Uniques,Upwards_Model_Valids,Upwards_True_Uniques,Upwards_True_Valids_Uniques,Upwards_True_Valids,altUpwards_Model_Trees,altUpwards_True_Trees,altUpwards_Model_Mask,altUpwards_True_Mask,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,altUpwards_Model_Uniques,altUpwards_Model_Valids_Uniques,altUpwards_Model_Valids,altUpwards_True_Uniques,altUpwards_True_Valids_Uniques,altUpwards_True_Valids
[1 0 0 0 1 1 1 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1],[0 3 1 4 0],[0 3 1 4 0],True,True,0.59375,0.71875,"[4, 2, 1, 2, 1]","[3, 2, 3, 3, 0]",False,False,0.0,0.0,[0. 3. 1. 4. 0.],[0. 3. 1. 4. 0.],True,True,0.125,0.4375,0.2,1.0,1.0,0.2,1.0,1.0,[0. 2. 1. 4. 0.],[0. 3. 1. 4. 0.],False,True,0.53125,0.75,0.4,0.5,0.8,0.2,1.0,1.0
[0 1 1 0 0 1 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1],[0 0 0 3 3],[0 0 0 3 3],True,True,0.59375,0.71875,"[0, 2, 3, 0, 0]","[1, 0, 0, 2, 1]",False,False,0.0,0.0,[0. 1. 0. 3. 2.],[4. 0. 2. 3. 0.],False,False,0.125,0.4375,0.2,0.0,0.0,0.8,0.0,0.0,[0. 0. 0. 3. 3.],[0. 0. 0. 3. 3.],True,True,0.53125,0.75,0.4,1.0,1.0,0.4,1.0,1.0
[1 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1],[0 2 0 2 2],[0 2 0 1 3],False,True,0.59375,0.71875,"[1, 0, 3, 1, 3]","[2, 1, 3, 1, 2]",False,False,0.0,0.0,[0. 2. 2. 1. 0.],[0. 2. 0. 1. 3.],False,True,0.125,0.4375,0.8,0.25,0.2,0.8,0.25,0.4,[0. 2. 0. 2. 3.],[0. 2. 0. 1. 3.],True,True,0.53125,0.75,1.0,0.6,0.6,0.8,0.75,0.6
[0 1 1 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 1],[0 0 1 0 4],[0 0 1 0 4],True,True,0.59375,0.71875,"[4, 1, 2, 2, 3]","[0, 3, 4, 3, 1]",False,False,0.0,0.0,[4. 1. 1. 0. 4.],[4. 0. 1. 0. 4.],False,False,0.125,0.4375,0.2,0.0,0.0,0.6,0.0,0.0,[0. 0. 1. 0. 4.],[0. 0. 1. 0. 4.],True,True,0.53125,0.75,0.6,0.6666666666666666,0.8,0.8,0.75,0.8
[0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 1 1 1 1 0 1 1],[0 0 1 0 1],[0 0 3 0 1],False,False,0.59375,0.71875,"[0, 2, 0, 2, 1]","[1, 1, 4, 1, 2]",False,False,0.0,0.0,[0. 0. 3. 4. 1.],[0. 4. 1. 0. 3.],True,True,0.125,0.4375,0.6,0.6666666666666666,0.6,0.8,0.5,0.6,[0. 0. 3. 4. 3.],[0. 0. 1. 0. 1.],False,False,0.53125,0.75,1.0,0.4,0.4,1.0,0.6,0.6
[0 0 1 0 1 0 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0],[0 1 0 1 0],[0 1 0 1 0],True,True,0.59375,0.71875,"[1, 2, 0, 2, 0]","[2, 1, 2, 3, 4]",False,False,0.0,0.0,[0. 1. 2. 1. 0.],[0. 1. 1. 4. 2.],False,False,0.125,0.4375,0.2,0.0,0.0,0.8,0.0,0.0,[0. 1. 0. 1. 0.],[0. 1. 0. 1. 0.],True,True,0.53125,0.75,0.2,1.0,1.0,0.2,1.0,1.0
[0 0 1 0 0 0 1 1 1 1 0 1 1 0 0 1 0 0 1 1 0 0 1 0 0],[0 2 0 1 1],[0 2 0 1 3],True,True,0.59375,0.71875,"[4, 1, 4, 0, 2]","[4, 2, 0, 4, 2]",False,False,0.0,0.0,[3. 2. 0. 3. 1.],[0. 2. 0. 1. 3.],False,True,0.125,0.4375,0.4,0.5,0.4,0.6,0.3333333333333333,0.6,[0. 2. 1. 1. 1.],[0. 2. 0. 1. 1.],False,True,0.53125,0.75,0.6,0.6666666666666666,0.8,0.4,1.0,1.0
[0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1],[0 3 1 0 1],[0 2 1 0 1],True,False,0.59375,0.71875,"[2, 1, 1, 2, 0]","[1, 3, 2, 2, 1]",False,False,0.0,0.0,[4. 3. 1. 0. 4.],[0. 0. 3. 0. 1.],False,False,0.125,0.4375,0.6,0.0,0.0,0.4,0.5,0.6,[0. 2. 3. 4. 0.],[0. 2. 1. 0. 0.],True,False,0.53125,0.75,1.0,0.6,0.6,1.0,0.2,0.2
[1 0 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1],[0 1 1 0 1],[0 1 1 0 2],True,True,0.59375,0.71875,"[3, 2, 2, 0, 1]","[1, 3, 0, 0, 2]",False,False,0.0,0.0,[0. 1. 2. 0. 1.],[0. 1. 1. 0. 2.],False,True,0.125,0.4375,0.4,0.5,0.2,0.6,0.6666666666666666,0.8,[0. 1. 1. 0. 1.],[0. 1. 1. 0. 1.],True,True,0.53125,0.75,0.4,1.0,1.0,0.4,1.0,1.0
[1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0],[0 0 4 0 1],[0 0 4 0 1],False,False,0.59375,0.71875,"[0, 4, 3, 4, 0]","[4, 0, 3, 3, 2]",False,False,0.0,0.0,[0. 0. 4. 3. 1.],[0. 0. 4. 2. 3.],False,False,0.125,0.4375,0.6,0.3333333333333333,0.4,0.8,0.25,0.2,[0. 0. 3. 1. 3.],[0. 2. 4. 0. 2.],False,False,0.53125,0.75,1.0,0.8,0.8,1.0,0.2,0.2
[1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1],[0 2 4 0 0],[0 2 4 0 0],False,False,0.59375,0.71875,"[0, 0, 0, 4, 4]","[4, 4, 4, 1, 1]",False,False,0.0,0.0,[0. 2. 3. 3. 0.],[0. 2. 4. 0. 3.],False,True,0.125,0.4375,0.6,0.3333333333333333,0.4,0.6,0.6666666666666666,0.8,[0. 2. 4. 0. 2.],[0. 2. 4. 1. 0.],False,True,0.53125,0.75,0.8,0.75,0.8,0.6,0.6666666666666666,0.4
[1 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1],[0 3 0 0 1],True,True,0.59375,0.71875,"[1, 4, 3, 2, 3]","[4, 4, 4, 1, 0]",False,False,0.0,0.0,[0. 3. 2. 0. 1.],[0. 3. 0. 3. 1.],False,False,0.125,0.4375,0.6,0.0,0.0,1.0,0.0,0.0,[0. 3. 0. 0. 1.],[0. 2. 0. 0. 1.],True,True,0.53125,0.75,0.6,1.0,1.0,0.4,1.0,1.0
[1 0 0 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1],[0 3 4 0 0],[0 2 4 1 0],False,True,0.59375,0.71875,"[4, 0, 3, 1, 1]","[1, 1, 4, 0, 2]",False,False,0.0,0.0,[0. 2. 4. 3. 3.],[0. 2. 4. 1. 0.],False,True,0.125,0.4375,0.6,0.0,0.0,0.8,0.75,0.8,[0. 2. 4. 4. 3.],[0. 2. 4. 0. 0.],False,False,0.53125,0.75,1.0,0.6,0.6,0.8,0.75,0.8
[0 1 1 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 1],[0 0 1 0 4],[0 0 1 0 4],True,True,0.59375,0.71875,"[4, 1, 1, 1, 0]","[3, 3, 0, 2, 0]",False,False,0.0,0.0,[4. 1. 1. 0. 4.],[4. 0. 1. 0. 4.],False,False,0.125,0.4375,0.2,0.0,0.0,0.6,0.0,0.0,[0. 0. 1. 0. 4.],[0. 2. 0. 0. 4.],True,True,0.53125,0.75,0.6,0.6666666666666666,0.6,0.4,1.0,1.0
[1 0 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 1 1 1 0],[0 4 0 0 2],[0 4 0 4 2],False,True,0.59375,0.71875,"[2, 2, 4, 2, 1]","[3, 4, 0, 2, 2]",False,False,0.0,0.0,[0. 4. 0. 3. 3.],[0. 4. 3. 0. 2.],False,True,0.125,0.4375,0.4,0.5,0.2,1.0,0.2,0.2,[0. 4. 4. 4. 2.],[0. 4. 3. 0. 2.],False,True,0.53125,0.75,0.4,0.5,0.8,0.4,1.0,1.0
[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1 1 1],[0 2 0 0 0],[0 2 3 2 0],False,False,0.59375,0.71875,"[2, 4, 0, 4, 2]","[1, 3, 3, 4, 4]",False,False,0.0,0.0,[4. 2. 3. 0. 4.],[0. 4. 0. 2. 3.],False,False,0.125,0.4375,0.2,0.0,0.0,0.8,0.25,0.2,[0. 4. 0. 2. 0.],[0. 2. 3. 2. 0.],False,False,0.53125,0.75,1.0,0.8,0.8,1.0,0.6,0.6
[1 1 1 1 0 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 1 0],[0 0 0 4 2],[0 0 0 4 2],True,True,0.59375,0.71875,"[1, 4, 3, 2, 3]","[2, 1, 0, 3, 0]",False,False,0.0,0.0,[0. 2. 2. 4. 1.],[0. 0. 3. 1. 2.],False,True,0.125,0.4375,0.6,0.0,0.0,0.6,0.0,0.0,[0. 0. 0. 0. 2.],[0. 0. 4. 4. 2.],False,False,0.53125,0.75,1.0,0.8,0.8,0.8,1.0,1.0
